line_id,industry_name,avg_price_growth,avg_quantity_growth,vol_price_growth,vol_quantity_growth,avg_qp_ratio,growth_regime,cluster_id
1,Gross domestic product,0.008440964885878054,0.0060583978638970885,0.005690737749817918,0.021859475474838803,1.9714772720977585,balanced,0
2,Private industries,0.008385802070805269,0.00665688720604775,0.006707461716883859,0.02405692123481444,1.665896365867774,balanced,0
3,"Agriculture, forestry, fishing, and hunting",0.010117605902643316,0.0069159360835087955,0.07826683323351312,0.041257019697504935,-0.0991110818912622,balanced,0
4,Farms,0.01326290250598201,0.00821776863594885,0.09827682695750081,0.045511825459177147,0.548857482229283,balanced,0
5,"Forestry, fishing, and related activities",0.004772195112736977,0.0023799532431510663,0.008356294960402483,0.03448031628428247,-8.044165095228921,balanced,0
6,Mining,0.01955033719204126,0.008692235229322269,0.16165545816505253,0.05334660141061636,-0.4104891623681919,balanced,0
7,Oil and gas extraction,0.04465139326431489,0.016571147905929024,0.29421105358615673,0.08407234391728709,-0.3978195605187131,balanced,0
8,"Mining, except oil and gas",0.022104852848075476,0.0014497435116327664,0.03391665493657169,0.026151983551456863,-0.8398409200782647,balanced,0
9,Support activities for mining,-0.00430116107621945,0.003924116433369884,0.049526586038061725,0.08389130466631702,-1.089617556234316,balanced,0
10,Utilities,0.009888961849230922,0.006833867742004754,0.05475442308739718,0.03579276620811239,-24.937594018312108,balanced,2
11,Construction,0.012852496876848024,0.0006809486600092017,0.01967765227152554,0.021059154193762628,0.03978448741681433,balanced,0
12,Manufacturing,0.006407523939900252,0.0041040676679668705,0.014887044319787513,0.03269943460393854,0.2994654626775892,balanced,0
13,Durable goods,0.0060384324188530345,0.0035423762300262553,0.010818196818712267,0.039247839980595466,-7.146620067719304,balanced,0
14,Wood products,0.01428235283343256,0.005349761408130111,0.06622601713454863,0.05743046101856276,1.148339354065121,balanced,0
15,Nonmetallic mineral products,0.015561481597880676,-0.006158735025628562,0.020941626208777386,0.02792660902095114,-0.408246730421117,balanced,0
16,Primary metals,-0.003995248315678075,0.020182941884131254,0.10829538027521272,0.08488501199742253,-0.5222286907818894,quantity_led,0
17,Fabricated metal products,0.014564982186788677,-0.004822159482820326,0.029404552161686203,0.04171256015027965,-2.799804387958242,balanced,0
18,Machinery,0.012264454680351736,-0.0012808127555741845,0.02497891468269239,0.037526880959809494,0.016227843464481695,balanced,0
19,Computer and electronic products,0.005471222648720093,0.003280808183578041,0.010720119341603919,0.0204703692820867,-8.156348455038835,balanced,0
20,"Electrical equipment, appliances, and components",0.011340900809287605,0.0009227365387154828,0.029927682323690474,0.03100499698791563,0.3763562128424418,balanced,0
21,"Motor vehicles, bodies and trailers, and parts",-0.006671862316882346,0.02831097843493296,0.03959378534255458,0.20771338634061434,-4.070557114857835,quantity_led,0
22,Other transportation equipment,0.0031408153580751844,0.008428865735687628,0.009200131779515463,0.055388028647361885,-5.0320330002838025,balanced,0
23,Furniture and related products,0.013062343446898168,-0.007068391484819552,0.02596412106034964,0.03663542605451029,-1.7079635208039945,balanced,0
24,Miscellaneous manufacturing,0.00640794879606714,0.00388698727286338,0.011376024581642183,0.03143317242185456,-19.069791115578607,balanced,2
25,Nondurable goods,0.007027031225105151,0.004978773047423503,0.02710161301435545,0.029035958767212124,-1.1153453316273203,balanced,0
26,Food and beverage and tobacco products,0.010112396011145074,0.0028304746252019023,0.04410228490213582,0.045450615801088834,-0.5080579212036029,balanced,0
27,Textile mills and textile product mills,0.005586364099530567,-0.0038252550711422553,0.012734012594741124,0.0489339523061284,-4.3840192318958,balanced,0
28,Apparel and leather and allied products,0.0030774773748933203,0.007923335684644473,0.010382443296182766,0.04915020528376449,-0.16596790660754338,balanced,0
29,Paper products,0.009419684240429103,-0.00126176519295914,0.0273122925801687,0.03247694398063287,-0.22256270825184915,balanced,0
30,Printing and related support activities,0.013950995366484992,-0.012380549857360153,0.02030451802706566,0.04052603285576786,-12.43451857493196,balanced,0
31,Petroleum and coal products,0.0439904096232413,0.004484339819847132,0.2646255072465357,0.11973219287704688,-0.806877700474195,balanced,0
32,Chemical products,0.004526616161764476,0.011692723080518034,0.017453123697376376,0.030670567086952264,-4.609150011124519,balanced,0
33,Plastics and rubber products,0.012151003857214257,-0.002470865745170663,0.03452246199434761,0.04252926145465236,-1.237718538087681,balanced,0
34,Wholesale trade,0.016778802749688158,0.00023849737146750845,0.01821939980332805,0.030901887178457228,2.215922088980196,balanced,0
35,Retail trade,0.010813670544280611,0.006209605589230327,0.025395137798612414,0.034100614335855074,0.38658848419709874,balanced,0
36,Motor vehicle and parts dealers,0.008442277859722853,0.012934040556227332,0.09681708109709516,0.0788846204856034,1.103682678120252,balanced,0
37,Food and beverage stores,0.015331150656314652,-0.0006761030684486899,0.023408285383536995,0.026143302940776537,-0.1357864578081501,balanced,0
38,General merchandise stores,0.018147019585888838,-0.0015119023523841907,0.04016861383239961,0.04948905095208735,-25.841498108208206,balanced,2
39,Other retail,0.010517893376739765,0.00822653139558791,0.018519737364680357,0.04232843757389574,-1.8519703469223503,balanced,0
40,Transportation and warehousing,0.009841961351905883,0.005762819196666424,0.01981801385209166,0.04577377098314402,-1.4073547505637227,balanced,0
41,Air transportation,0.005102143215020403,0.03423648648188128,0.06127160191902611,0.19079402460719347,0.6141187377774658,quantity_led,0
42,Rail transportation,0.007255850030642606,-0.00383083533389432,0.018142514938943675,0.035644620985855274,-1.9293735218561223,balanced,0
