line_id,year,quarter,employment_thousands,avg_hourly_earnings,avg_weekly_earnings,period,employment_thousands_growth,avg_hourly_earnings_growth,avg_weekly_earnings_growth
6,2019,1,694.6666666666666,33.64333333333333,1570.0199999999998,2019-Q1,,,
6,2019,2,688.9666666666667,34.18,1598.4800000000002,2019-Q2,-0.008205374280230271,0.01595164965817908,0.01812715761582684
6,2019,3,672.7333333333332,34.73666666666667,1618.72,2019-Q3,-0.023561855919493113,0.016286327286912483,0.012662028927481028
6,2019,4,655.3000000000001,35.199999999999996,1625.0833333333333,2019-Q4,-0.02591418095332454,0.013338451204298662,0.003931089585186509
6,2020,1,632.5333333333333,35.153333333333336,1631.1233333333332,2020-Q1,-0.03474235719009122,-0.0013257575757573692,0.0037167324752576114
6,2020,2,551.5333333333333,35.54333333333333,1552.0733333333335,2020-Q2,-0.1280564924114671,0.011094253745495664,-0.04846353331139874
6,2020,3,517.8000000000001,35.38666666666666,1574.6966666666667,2020-Q3,-0.06116281880817098,-0.004407765169276878,0.014576201296330416
6,2020,4,508.76666666666665,35.39666666666667,1598.7333333333333,2020-Q4,-0.01744560319299615,0.0002825923134892605,0.015264315455463251
6,2021,1,499.59999999999997,35.28333333333333,1611.2533333333333,2021-Q1,-0.018017427766494176,-0.003201808079856927,0.007831199699762204
6,2021,2,510.06666666666666,35.29,1613.9266666666665,2021-Q2,0.020950093408059756,0.00018894662257906703,0.0016591638807055276
6,2021,3,517.6999999999999,35.63333333333333,1626.07,2021-Q3,0.014965364004705162,0.009728912817606572,0.007524092379249003
6,2021,4,527.5666666666666,35.99,1642.3633333333335,2021-Q4,0.019058656879788805,0.010009354536950399,0.010020068836725127
6,2022,1,537.5,36.126666666666665,1641.493333333333,2022-Q1,0.018828584065205156,0.003797351116050729,-0.0005297244418106528
6,2022,2,557.3000000000001,35.94,1665.3033333333333,2022-Q2,0.0368372093023257,-0.005167004982469137,0.014505084800831902
6,2022,3,568.7,36.96333333333333,1720.03,2022-Q3,0.020455768885698777,0.0284733815618623,0.03286288183734287
6,2022,4,578.6999999999999,37.196666666666665,1714.6499999999999,2022-Q4,0.017583963425355842,0.00631256199837682,-0.003127852421178745
6,2023,1,588.9333333333333,37.800000000000004,1731.2300000000002,2023-Q1,0.017683313173204374,0.016220091406040194,0.009669611874143724
6,2023,2,594.9666666666667,38.51333333333333,1754.9266666666665,2023-Q2,0.010244509848313488,0.018871252204585298,0.013687763420612065
6,2023,3,595.5333333333333,39.01333333333333,1746.55,2023-Q3,0.0009524343100453248,0.012982516877271921,-0.004773228890855741
6,2023,4,593.1666666666666,39.26333333333333,1776.04,2023-Q4,-0.0039740288816747515,0.006408065618591863,0.016884715582147658
